date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:43:07	47440/47440	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2018:18:45%20GMT	https://siteslucrativosapp.shop/spotpay/	C:/Meus%20Sites/spotifyy/siteslucrativosapp.shop/spotpay/index.html	(from )
20:43:07	116/116	---M-Z	200	added ('OK')	text/plain	date:Mon,%2004%20Nov%202024%2023:43:05%20GMT	https://siteslucrativosapp.shop/robots.txt		(from )
20:43:07	78150/78150	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2015%20Oct%202024%2018:09:01%20GMT	https://siteslucrativosapp.shop/spotpay/js/script.js	C:/Meus%20Sites/spotifyy/siteslucrativosapp.shop/spotpay/js/script.js	(from https://siteslucrativosapp.shop/spotpay/)
20:43:07	19052/19052	---M-Z	200	added ('OK')	text/css	date:Tue,%2015%20Oct%202024%2018:09:01%20GMT	https://siteslucrativosapp.shop/spotpay/css/styles.css	C:/Meus%20Sites/spotifyy/siteslucrativosapp.shop/spotpay/css/styles.css	(from https://siteslucrativosapp.shop/spotpay/)
20:43:07	90257/90257	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2015%20Oct%202024%2018:09:01%20GMT	https://siteslucrativosapp.shop/spotpay/js/jquery-3.6.4.min.js	C:/Meus%20Sites/spotifyy/siteslucrativosapp.shop/spotpay/js/jquery-3.6.4.min.js	(from https://siteslucrativosapp.shop/spotpay/)
20:43:07	1681/1681	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2015%20Oct%202024%2018:09:01%20GMT	https://siteslucrativosapp.shop/spotpay/js/js.cookie.min.js	C:/Meus%20Sites/spotifyy/siteslucrativosapp.shop/spotpay/js/js.cookie.min.js	(from https://siteslucrativosapp.shop/spotpay/)
20:43:08	170373/170373	---M--	200	added ('OK')	audio/mpeg	date:Tue,%2015%20Oct%202024%2018:09:01%20GMT	https://siteslucrativosapp.shop/spotpay/media/dinheiro.mp3	C:/Meus%20Sites/spotifyy/siteslucrativosapp.shop/spotpay/media/dinheiro.mp3	(from https://siteslucrativosapp.shop/spotpay/)
20:43:08	42948/42948	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Oct%202024%2018:09:01%20GMT	https://siteslucrativosapp.shop/spotpay/images/opinilogo.png	C:/Meus%20Sites/spotifyy/siteslucrativosapp.shop/spotpay/images/opinilogo.png	(from https://siteslucrativosapp.shop/spotpay/)
20:43:08	237484/237484	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Oct%202024%2018:09:01%20GMT	https://siteslucrativosapp.shop/spotpay/images/matue.png	C:/Meus%20Sites/spotifyy/siteslucrativosapp.shop/spotpay/images/matue.png	(from https://siteslucrativosapp.shop/spotpay/)
20:43:08	9362/9362	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2018:09:01%20GMT	https://siteslucrativosapp.shop/spotpay/transparent.html	C:/Meus%20Sites/spotifyy/siteslucrativosapp.shop/spotpay/transparent.html	(from https://siteslucrativosapp.shop/spotpay/)
20:43:08	276924/276924	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Oct%202024%2018:09:01%20GMT	https://siteslucrativosapp.shop/spotpay/images/LuanSantana.png	C:/Meus%20Sites/spotifyy/siteslucrativosapp.shop/spotpay/images/LuanSantana.png	(from https://siteslucrativosapp.shop/spotpay/)
20:43:09	274939/274939	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Oct%202024%2018:09:01%20GMT	https://siteslucrativosapp.shop/spotpay/images/alok.png	C:/Meus%20Sites/spotifyy/siteslucrativosapp.shop/spotpay/images/alok.png	(from https://siteslucrativosapp.shop/spotpay/)
20:43:09	223043/223043	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Oct%202024%2018:09:01%20GMT	https://siteslucrativosapp.shop/spotpay/images/annita.png	C:/Meus%20Sites/spotifyy/siteslucrativosapp.shop/spotpay/images/annita.png	(from https://siteslucrativosapp.shop/spotpay/)
20:43:09	286854/286854	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Oct%202024%2018:09:01%20GMT	https://siteslucrativosapp.shop/spotpay/images/ludmillaa.png	C:/Meus%20Sites/spotifyy/siteslucrativosapp.shop/spotpay/images/ludmillaa.png	(from https://siteslucrativosapp.shop/spotpay/)
20:43:09	249100/249100	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Oct%202024%2018:09:01%20GMT	https://siteslucrativosapp.shop/spotpay/images/mcabelin.png	C:/Meus%20Sites/spotifyy/siteslucrativosapp.shop/spotpay/images/mcabelin.png	(from https://siteslucrativosapp.shop/spotpay/)
20:43:10	206341/206341	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Oct%202024%2018:09:01%20GMT	https://siteslucrativosapp.shop/spotpay/images/mcdaniel.png	C:/Meus%20Sites/spotifyy/siteslucrativosapp.shop/spotpay/images/mcdaniel.png	(from https://siteslucrativosapp.shop/spotpay/)
20:43:10	300807/300807	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Oct%202024%2018:09:01%20GMT	https://siteslucrativosapp.shop/spotpay/images/ivete.png	C:/Meus%20Sites/spotifyy/siteslucrativosapp.shop/spotpay/images/ivete.png	(from https://siteslucrativosapp.shop/spotpay/)
20:43:10	260701/260701	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Oct%202024%2018:09:01%20GMT	https://siteslucrativosapp.shop/spotpay/images/wesley.png	C:/Meus%20Sites/spotifyy/siteslucrativosapp.shop/spotpay/images/wesley.png	(from https://siteslucrativosapp.shop/spotpay/)
20:43:10	294124/294124	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Oct%202024%2018:09:01%20GMT	https://siteslucrativosapp.shop/spotpay/images/poze.png	C:/Meus%20Sites/spotifyy/siteslucrativosapp.shop/spotpay/images/poze.png	(from https://siteslucrativosapp.shop/spotpay/)
20:43:10	71608/71608	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Oct%202024%2018:09:01%20GMT	https://siteslucrativosapp.shop/spotpay/images/cpf.png	C:/Meus%20Sites/spotifyy/siteslucrativosapp.shop/spotpay/images/cpf.png	(from https://siteslucrativosapp.shop/spotpay/)
20:43:11	49514/49514	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Oct%202024%2018:09:01%20GMT	https://siteslucrativosapp.shop/spotpay/images/telefone.png	C:/Meus%20Sites/spotifyy/siteslucrativosapp.shop/spotpay/images/telefone.png	(from https://siteslucrativosapp.shop/spotpay/)
20:43:11	44468/44468	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Oct%202024%2018:09:01%20GMT	https://siteslucrativosapp.shop/spotpay/images/email.png	C:/Meus%20Sites/spotifyy/siteslucrativosapp.shop/spotpay/images/email.png	(from https://siteslucrativosapp.shop/spotpay/)
20:43:11	67320/67320	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Oct%202024%2018:09:01%20GMT	https://siteslucrativosapp.shop/spotpay/images/qr.png	C:/Meus%20Sites/spotifyy/siteslucrativosapp.shop/spotpay/images/qr.png	(from https://siteslucrativosapp.shop/spotpay/)
20:43:11	380220/380220	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2015%20Oct%202024%2018:09:01%20GMT	https://siteslucrativosapp.shop/spotpay/js/lottie-player.js	C:/Meus%20Sites/spotifyy/siteslucrativosapp.shop/spotpay/js/lottie-player.js	(from https://siteslucrativosapp.shop/spotpay/)
